temperature,vibration,runtime_hours,noise_level,status
65.2,0.45,1200,60.5,0
72.8,0.72,3400,63.2,0
89.1,1.15,8200,78.4,1
55.3,0.28,800,55.1,0
61.7,0.39,2100,58.7,0
94.5,1.32,9100,82.3,1
78.9,0.88,5600,69.4,0
83.2,1.01,6400,73.1,0
97.4,1.48,9500,85.9,1
69.5,0.61,3900,62.0,0
74.1,0.79,4800,65.7,0
91.3,1.24,8700,80.2,1
58.9,0.35,1700,57.0,0
63.4,0.42,2500,59.3,0
88.7,1.09,7900,77.6,1
70.2,0.66,4100,62.8,0
76.8,0.84,5300,67.9,0
93.6,1.29,9000,81.7,1
60.5,0.38,1900,58.1,0
67.9,0.53,3200,61.1,0
86.4,1.02,7400,75.8,1
71.6,0.7,4300,63.9,0
79.3,0.91,5800,70.4,0
95.1,1.37,9200,83.0,1
57.4,0.31,1500,56.3,0
62.8,0.4,2300,59.0,0
90.2,1.19,8500,79.3,1
68.7,0.58,3600,61.6,0
75.4,0.82,5100,66.9,0
92.7,1.27,8900,81.1,1
59.8,0.36,1800,57.6,0
66.3,0.49,3000,60.5,0
87.9,1.07,7700,76.9,1
73.1,0.75,4600,64.8,0
81.5,0.95,6100,71.6,0
96.2,1.41,9350,84.4,1
56.7,0.29,1100,55.6,0
64.9,0.44,2700,59.9,0
89.6,1.12,8050,78.0,1
70.9,0.68,4200,63.3,0
77.8,0.86,5450,68.5,0
93.9,1.31,9050,82.0,1
61.2,0.4,2200,58.9,0
69.8,0.56,3500,61.4,0
85.7,1.0,7300,75.1,1
72.3,0.73,4450,64.3,0
80.4,0.93,5950,70.9,0
94.8,1.35,9150,83.5,1
58.2,0.33,1600,56.8,0
63.9,0.41,2400,59.5,0
88.1,1.08,7800,77.2,1
71.1,0.69,4150,63.6,0
78.6,0.89,5700,69.8,0
92.1,1.25,8800,80.6,1
60.9,0.37,2000,58.4,0
67.2,0.52,3100,60.9,0
86.9,1.04,7500,76.2,1
74.0,0.77,4700,65.4,0
82.7,0.98,6200,72.4,0
95.6,1.39,9300,84.0,1
57.9,0.32,1400,56.5,0
65.6,0.47,2900,60.2,0
90.8,1.22,8600,79.8,1
69.1,0.6,3800,61.8,0
76.1,0.83,5250,67.4,0
93.2,1.3,8950,81.5,1
